Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2010,12,Female,17,Right-Handed,162.6,22.9,153,1,Car,7,0.359,57,Soccer,9000,1000,9000,,1000,9000,22.9,Same length,75,70,Index finger,August,Winter,Yes,No,Desserts,Water,English,6,8,5,Yes - broadband connection,Text messaging,45,50,5,2,18,25,8,0,2,80,30,20,0,10,A lot,Graduate degree,Reggae,Fly,Happy,Other,"Arts, culture, sports"
USA,CA,2014,12,Male,17,Right-Handed,181,26,178,2,Car,5,0.301,22,Swimming,400,400,600,800,1000,1000,26,Same length,34,31,Index finger,July,Fall,No,No,Pizza/Pasta,Juice,Science,8,11,7,Yes - broadband connection,Internet chat or instant messaging,0,1,5,0,5,10,0,40,2,1,40,3,0,1,Some,Graduate degree,Classical,Invisibility,Rich,Relative,Other
USA,CA,2015,6,Male,11,Right-Handed,178,28,185,1,Bicycle,5,0.343,50,Baseball/Softball,800,600,1000,500,600,300,29,Left foot,85,90,Ring finger,May,Summer,Yes,No,Meat,Soft drink (non-caffeinated),Physical education,8,11,4,Yes - broadband connection,In person,2,4,2,1,2,3,5,5,3,1,4,1,2,1,Very little,Graduate degree,Techno/Electronic,Fly,Happy,Business person,International aid
USA,CA,2020,11,Female,17,Right-Handed,152,25.4,94.44,1,Car,5,0.451,56,Swimming,1000,1000,1000,1000,900,1000,25.4,Same length,10,10,Same length,December,Winter,No,No,Rice/Noodle dishes,Juice,Art,7,10,4,Yes - broadband connection,Text messaging,0,0,3,2,6,2,0,3,4,1,6,0,2,2,Very little,Other,Pop,Freeze time,Happy,Musician or singer,"Wildlife, animals"
USA,CA,2016,7,Female,12,Right-Handed,158,23,145,1,Car,15,0.416,56,Swimming,1000,310,610,455,251,251,24,Left foot,66,65,Index finger,March,Fall,Yes,No,Fruit,Juice,Science,9,7,5,Yes - broadband connection,Text messaging,2,4,7,0,2,30,4,8,0,1,12,2,0,1,Very little,Graduate degree,Rock and roll,Freeze time,Rich,Other,"Wildlife, animals"
USA,CA,2020,12,Female,17,Right-Handed,170,25cm,168,1,Car,7,0.414,44,Basketball,1000,1000,1000,1000,500,500,24,Right foot,9,8,Index finger,February,,No,No,Fruit,Water,Science,7,10,7,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",25,40,4,3,6,3,6,0,4,7,5,2,3,4,A lot,Undergraduate degree,Rhythm and blues (R&B),Fly,Healthy,Relative,Environment
USA,CA,2011,12,Female,17,Right-Handed,159.5,,,2,Car,6,1.374,,Dancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2017,11,Female,17,Right-Handed,154,23,156,2,Bus,30,0.325,40,Other,625,625,625,513,144,144,23,Same length,70,80,Same length,November,Fall,No,No,Rice/Noodle dishes,Juice,Other,5,8,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",200,250,22,15,7,5,5,7,168,168,23,0,0,14,A lot,Graduate degree,Rhythm and blues (R&B),Telepathy,Happy,Teacher,International aid
USA,CA,2018,12,Male,17,Right-Handed,67,25,173,2,Car,5,0.272,35,Cycling,326,241,909,663,674,1000,26,Left foot,8,7.8,Ring finger,August,Summer,Yes,No,Pizza/Pasta,Water,English,7,9,3,Yes - broadband connection,Cell phone,10,10,9,1,7,1,6,7,2,1,35,0,0,0,Some,Undergraduate degree,Rap/Hip hop,Fly,Happy,Relative,International aid
USA,CA,2017,11,Female,16,Right-Handed,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
